Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Average view duration,Impressions,Impressions click-through rate (%)
"Q6nP2mT9xLv","How to Fix Slow PC (Step-by-Step)","2026-07-20 13:18:00",8120,175,0.0182,90,0:16:02,35,
"aT7hGf2KpLm","My Cat’s Reaction to Rain","2026-07-21 19:44:00",523000,1450,0.0491,3200,0:00:32,980,
"w3R8pT2nQvL","How to Read Data Like a Pro","2026-07-05 20:12:00",15640,330,0.0217,120,0:13:05,210,
"pR8xQ2mN7cJ","Quick Calligraphy Practice (30s)","2026-07-02 17:01:00",281000,680,0.0364,610,0:00:30,420,
"zQ1tLm9pR3x","Don’t Buy a Mic Until You See This","2026-07-04 12:25:00",480000,910,0.0528,1400,0:00:44,760,
"nT5xQ1mP9vR","Cooking Chicken Perfectly Every Time","2026-07-07 10:11:00",14900,230,0.0176,95,0:10:55,180,
"J4rT2pQ8vWn","Beginner Fitness: 10-Minute Routine","2026-07-12 18:14:00",17350,260,0.0229,180,0:10:02,240,
"v8Qp1mN9tXy","Keyboard Typing Sound Test","2026-07-16 20:03:00",610000,1200,0.0412,2300,0:00:28,1040,
"c2Lx9Qw4mPq","Vacation Packing Checklist","2026-07-03 11:30:00",7450,140,0.0106,60,0:07:33,90,
"mQ4vT7pL1xZ","Gym Form: Rowing Basics","2026-07-11 06:40:00",220000,460,0.0295,520,0:00:33,330,
"b9Qm3tP2xLv","Morning Routine: Build Consistency","2026-07-27 09:30:00",5630,110,0.0148,75,0:12:44,140,
"v2Lx9Qw4mPp","Reacting to Comments: Best Questions","2026-07-13 19:02:00",7050,210,0.0310,120,0:18:27,265,
"mT7pQ2vL9xW","3 Button Cooking Hack (No Fancy Gear)","2026-07-26 06:55:00",390000,615,0.0476,800,0:00:29,520,
"xQ9pT2mL5vR","Learning Excel: Pivot Tables for Beginners","2026-07-16 11:41:00",12100,355,0.0204,240,0:15:22,190,
"L1vQ8mT3pNx","Fix Your Posture in 10 Seconds","2026-07-18 21:12:00",740000,980,0.0599,1500,0:00:26,1120,
"tY6nR3qW2aZ","How to Use Notion for Projects","2026-07-01 13:09:00",9800,225,0.0169,180,0:14:28,145,
"E9pL1tQ4mNx","DIY Desk Cable Management","2026-07-17 09:57:00",8900,168,0.0122,120,0:09:21,130,
"Z1sW4eY9tUa","City Walk Vlog: Morning Coffee","2026-07-08 07:55:00",6320,122,0.0109,80,0:09:46,95,
"q7Kp2sN4tVm","One Weird Trick for Better Lighting","2026-07-24 08:18:00",355000,620,0.0417,740,0:00:36,610,
"H2pT9xQ1vLm","Study With Me: 25 Minutes Focus","2026-07-23 21:05:00",4200,181,0.0076,65,0:25:10,60,
"sT8mQ2pL9xV","Beginner Budgeting: Simple Categories","2026-07-09 16:08:00",10350,215,0.0143,150,0:08:49,120,
"Y5cR2mT7pQv","Resume Bullet Points Stronger","2026-07-22 15:44:00",11860,239,0.0171,210,0:11:09,155,
"Q2mN7cJ9pR8x","Stop Doing This in Spreadsheets","2026-07-19 16:26:00",410000,690,0.0440,980,0:00:41,740,
"mP9vR2xQ1mP","3 Common Interview Mistakes","2026-07-06 08:22:00",15120,266,0.0198,410,0:06:48,220,
"pK2mT8vQ4xL","Quick Origami: Paper Crane","2026-07-15 18:33:00",265000,411,0.0375,540,0:00:37,480,
"Z9xQ1mT7pL2m","Fix Your PC Fans Quiet","2026-07-10 12:02:00",7600,140,0.0131,85,0:08:11,95,
"r4T7pL2mN9vQ","Meal Prep Under 30 Minutes","2026-07-25 12:05:00",3920,88,0.0091,95,0:08:05,80,
"v3L9Qw2mT5fK","DIY Desk Water Bottle Hack","2026-07-14 09:18:00",8400,162,0.0128,110,0:09:33,125,
"c9Qw4mP2sT8m","5-Minute Desk Setup Tour","2026-07-18 09:10:00",8740,142,0.0114,210,0:05:15,160,
"u8Qp1mN9tXy2","Keyboard Typing Sound Test (Alt)","2026-07-17 20:03:00",300000,520,0.0396,680,0:00:31,590,
"b1Qm3tP2xLv9","Don’t Do This at Your Desk","2026-07-11 13:27:00",156000,340,0.0308,420,0:00:50,410,
"n7T5xQ1mP9vR","Quick Rowing Form Check","2026-07-12 06:40:00",220000,331,0.0272,460,0:00:33,330,
"w2R8pT2nQvL3","How to Fix Slow PC (Part 2)","2026-07-26 13:18:00",6800,160,0.0158,80,0:12:04,110,
"mT7pQ2vL9xW1","3 Button Cooking Hack (No Fancy Gear)","2026-07-26 07:10:00",205000,540,0.0450,740,0:00:29,500,
"xQ9pT2mL5vR7","Excel Pivot Tables Advanced Tips","2026-07-20 11:41:00",9400,410,0.0226,200,0:14:55,185,
